City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,togur,58.3631,82.8265,2.3,65,100,4.47,RU,1712582431
83,portland,45.5234,-122.6762,7.64,92,51,1.34,US,1712582277
84,hasilpur,29.7122,72.5553,33.79,8,5,0.82,PK,1712582431
85,malpica,43.3228,-8.8105,13.09,47,72,7.93,ES,1712582432
86,udachny,66.4167,112.4,-12.53,81,16,3.64,RU,1712582432
87,suva,-18.1416,178.4415,26.71,94,75,2.57,FJ,1712582289
88,hasanpur,28.7167,78.2833,31.83,9,2,3.01,IN,1712582433
89,wailua homesteads,22.0669,-159.378,21.44,84,75,6.17,US,1712582433
90,slavyanka,42.8633,131.3847,3.56,32,0,8.42,RU,1712582434
91,isafjordur,66.0755,-23.124,0.02,69,100,8.23,IS,1712582409
92,kavaratti,10.5669,72.642,29.59,68,49,2.65,IN,1712582435
93,pittsburg,38.028,-121.8847,10.52,80,0,2.24,US,1712582142
94,kita,13.0349,-9.4895,41.82,8,11,2.37,ML,1712582435
95,noosa heads,-26.3833,153.15,23.39,85,26,0.8,AU,1712582341
96,yellowknife,62.456,-114.3525,-4.69,86,75,3.09,CA,1712582436
97,bilimbay,56.9689,59.8149,2.75,71,85,4.23,RU,1712582436
98,arraial do cabo,-22.9661,-42.0278,27.98,65,40,5.14,BR,1712582437
99,namibe,-15.1961,12.1522,24.97,70,100,3.94,AO,1712582437
100,san patricio,28.017,-97.5169,23.24,94,99,2.07,US,1712582437
101,okhotsk,59.3833,143.3,-0.98,95,100,4.35,RU,1712582438
102,hawaiian paradise park,19.5933,-154.9731,21.13,93,100,2.57,US,1712582438
103,kubinka,55.5839,36.69,16.0,70,97,4.33,RU,1712582439
104,ruovesi,61.9858,24.0571,12.01,89,98,5.01,FI,1712582439
105,xicotencatl,23.0167,-98.8833,23.84,86,37,2.87,MX,1712582439
106,crane,31.3974,-102.3501,15.05,30,6,4.01,US,1712582440
107,la'ie,21.6477,-157.9253,22.47,83,3,1.79,US,1712582440
108,port alfred,-33.5906,26.891,20.1,85,100,1.79,ZA,1712582440
109,kachug,53.9606,105.8817,-1.64,87,10,2.24,RU,1712582441
110,port elizabeth,-33.918,25.5701,21.72,85,100,0.89,ZA,1712582442
111,jwaneng,-24.6004,24.7303,21.0,74,100,7.39,BW,1712582442
112,mount isa,-20.7333,139.5,21.87,40,0,3.09,AU,1712582442
113,urengoy,65.9667,78.3667,-3.39,89,100,4.27,RU,1712582443
114,vorgashor,67.5833,63.95,-9.55,91,99,7.68,RU,1712582443
115,nar'yan-mar,67.6713,53.087,-8.27,81,7,4.02,RU,1712582444
116,tommot,58.9564,126.2925,-13.27,96,12,1.43,RU,1712582444
117,princeville,45.7668,-61.2985,5.35,75,0,5.66,CA,1712582444
118,santa elena de uairen,4.6167,-61.1333,25.58,51,62,1.96,VE,1712582445
119,aykhal,66.0,111.5,-13.68,82,9,5.29,RU,1712582445
120,kapa'a,22.0752,-159.319,22.18,84,75,6.17,US,1712582445
121,nemuro,43.3236,145.575,4.73,100,100,4.85,JP,1712582446
122,ankang,32.68,109.0172,18.92,42,100,2.24,CN,1712582446
123,port saint john's,-31.6229,29.5448,22.94,80,100,2.8,ZA,1712582447
124,jamestown,42.097,-79.2353,10.77,49,75,2.06,US,1712582447
125,morshyn,49.1565,23.8723,22.35,37,100,4.49,UA,1712582447
126,dunedin,-45.8742,170.5036,12.11,97,96,0.89,NZ,1712582448
127,gao,16.6362,1.637,41.84,6,7,6.49,ML,1712582448
128,revolucion mexicana,26.311,-108.9435,13.15,58,88,0.82,MX,1712582448
129,susuman,62.7833,148.1667,-10.01,91,100,1.34,RU,1712582449
130,kone,-21.0595,164.8658,22.17,92,0,1.76,NC,1712582449
131,katsuren-haebaru,26.3369,127.8719,22.43,92,100,3.09,JP,1712582449
132,galliano,29.4422,-90.2992,23.0,83,0,3.09,US,1712582450
133,quartu sant'elena,39.2419,9.1839,26.13,33,0,6.69,IT,1712582450
134,souillac,-20.5167,57.5167,27.21,78,75,1.54,MU,1712582450
135,ilulissat,69.2167,-51.1,-6.99,73,20,1.03,GL,1712582451
136,dudinka,69.4058,86.1778,-7.43,95,100,6.77,RU,1712582368
137,porbandar,21.6422,69.6093,28.47,57,0,8.04,IN,1712582452
138,klyuchi,52.2667,79.1667,14.01,52,100,2.74,RU,1712582452
139,utrik,11.2278,169.8474,26.75,84,69,10.35,MH,1712582452
140,elassona,39.8947,22.1886,20.63,45,57,3.04,GR,1712582453
141,crozon,48.2464,-4.4899,12.75,82,75,11.83,FR,1712582453
142,papatowai,-46.5619,169.4708,11.96,76,98,3.32,NZ,1712582453
143,morazan,15.3167,-87.6,24.87,88,98,1.0,HN,1712582454
144,nguigmi,14.2495,13.1092,35.94,12,100,5.47,NE,1712582454
145,al lagowa,11.4,29.1333,38.32,5,13,4.91,SD,1712582455
146,minas de marcona,-15.2119,-75.1103,18.94,75,99,2.65,PE,1712582455
147,khandyga,62.6667,135.6,-11.9,98,100,1.15,RU,1712582455
148,lihue,21.9789,-159.3672,21.77,78,75,6.17,US,1712582456
149,west island,-12.1568,96.8225,28.99,74,40,4.63,CC,1712582456
150,kragero,58.8693,9.4149,10.81,77,100,5.77,NO,1712582456
151,laguna,38.421,-121.4238,9.61,82,0,4.12,US,1712582457
152,coracora,-15.0333,-73.7833,13.91,81,100,0.78,PE,1712582458
153,blackmans bay,-43.0167,147.3167,9.07,81,0,0.45,AU,1712582458
154,korocha,50.8107,37.1953,22.4,44,87,3.69,RU,1712582458
155,antsiranana,-12.2787,49.2917,28.61,78,100,5.93,MG,1712582459
156,sumbawa besar,-8.5,117.4333,24.96,97,98,1.4,ID,1712582459
157,broome,42.2506,-75.833,8.45,62,0,2.57,US,1712582305
158,lionel town,17.8101,-77.2406,29.94,67,3,1.66,JM,1712582460
159,rosoman,41.5161,21.9497,23.78,31,0,1.02,MK,1712582460
160,stiens,53.2623,5.7577,18.3,68,75,4.63,NL,1712582460
161,fulton,33.7668,-84.4499,15.85,71,20,2.06,US,1712582461
162,necochea,-38.5473,-58.7368,20.39,63,100,7.32,AR,1712582171
163,taulaga,-11.0553,-171.0883,29.86,74,44,5.19,AS,1712582462
164,semnan,35.5729,53.3971,24.28,22,53,2.61,IR,1712582462
165,nelson bay,-32.7167,152.15,19.49,95,5,3.58,AU,1712582462
166,margate,51.3813,1.3862,16.6,75,100,0.45,GB,1712582454
167,kralendijk,12.15,-68.2667,29.99,70,40,9.26,BQ,1712582222
168,laascaanood,8.4774,47.3597,34.65,27,14,5.43,SO,1712582463
169,shingu,33.7333,135.9833,16.83,97,100,1.94,JP,1712582464
170,moyynkum,44.2914,72.9469,21.47,28,99,3.67,KZ,1712582422
171,arawa,-6.2132,155.5367,25.16,87,100,0.23,PG,1712582464
172,catriel,-37.8791,-67.7956,22.08,33,100,4.15,AR,1712582421
173,khunti,23.0833,85.2833,23.06,63,94,8.2,IN,1712582465
174,horta,38.5333,-28.6333,16.12,94,75,8.05,PT,1712582466
175,rio gallegos,-51.6226,-69.2181,1.03,80,0,6.69,AR,1712582308
176,machiques,10.0644,-72.545,29.37,63,94,1.37,VE,1712582466
177,alice springs,-23.7,133.8833,22.34,24,100,2.57,AU,1712582379
178,shchyolkino,45.4291,35.8223,14.2,59,0,7.59,UA,1712582467
179,kapuskasing,49.4169,-82.4331,3.45,85,100,2.02,CA,1712582342
180,rio grande,-32.035,-52.0986,22.06,84,37,4.28,BR,1712582276
181,alliance,40.9153,-81.1059,10.9,83,100,3.33,US,1712582468
182,aral,40.5156,81.2636,19.0,23,0,1.18,CN,1712582469
183,chipinge,-20.1883,32.6236,23.34,67,100,2.72,ZW,1712582469
184,nynashamn,58.9034,17.9479,15.65,98,100,6.61,SE,1712582469
185,sarakhs,36.5449,61.1577,23.58,23,100,4.12,IR,1712582470
186,tsiombe,-25.3,45.4833,23.13,60,100,6.66,MG,1712582470
187,ar rutbah,33.0381,40.2848,25.53,16,99,3.71,IQ,1712582471
188,prado,-17.3411,-39.2208,29.05,57,93,2.46,BR,1712582471
189,muisne,0.6,-80.0333,25.42,87,100,3.26,EC,1712582176
190,aitape,-3.1374,142.3475,26.4,89,91,1.31,PG,1712582472
191,anadyr,64.75,177.4833,-14.72,78,0,5.0,RU,1712582472
192,nuku'alofa,-21.1333,-175.2,26.19,83,20,5.66,TO,1712582473
193,aldan,58.6031,125.3894,-10.54,89,12,3.49,RU,1712582473
194,palikir - national government center,6.9248,158.1611,27.41,83,100,2.06,FM,1712582474
195,pokhara,28.2333,83.9833,21.61,13,32,2.71,NP,1712582474
196,uturoa,-16.7333,-151.4333,28.51,80,100,4.18,PF,1712582474
197,senador jose porfirio,-2.5908,-51.9542,26.71,82,81,1.44,BR,1712582475
198,biltine,14.5333,20.9167,38.74,6,100,2.82,TD,1712582476
199,taltal,-25.4,-70.4833,18.62,73,0,1.76,CL,1712582234
200,gillette,44.2911,-105.5022,0.51,94,100,9.77,US,1712582298
201,gazli,40.1333,63.45,25.69,20,100,2.71,UZ,1712582477
202,pembroke,45.8168,-77.1162,3.99,70,100,0.89,CA,1712582477
203,fang,19.9169,99.2145,34.39,19,100,0.73,TH,1712582368
204,akureyri,65.6835,-18.0878,-0.04,86,75,6.69,IS,1712582366
205,saurimo,-9.6608,20.3916,28.3,56,72,1.11,AO,1712582478
206,san bernardo del viento,9.3533,-75.9524,29.5,74,100,2.84,CO,1712582479
207,zeya,53.75,127.2667,-5.29,75,3,1.9,RU,1712582479
208,beau vallon,-20.4189,57.6953,27.13,78,75,1.54,MU,1712582412
209,el kala,36.8956,8.4433,30.23,37,86,2.71,DZ,1712582480
210,punta arenas,-53.15,-70.9167,2.06,80,0,9.77,CL,1712582480
211,iskateley,67.6803,53.1512,-8.32,81,8,4.02,RU,1712582481
212,gisborne,-38.6533,178.0042,12.07,89,2,3.02,NZ,1712582481
213,pallasovka,50.05,46.8833,19.05,40,69,3.44,RU,1712582481
214,hermanus,-34.4187,19.2345,17.67,95,100,9.32,ZA,1712582482
215,lumut,4.2323,100.6298,27.01,83,20,0.51,MY,1712582483
216,mount pearl,47.5166,-52.7813,-0.48,95,100,9.77,CA,1712582483
217,nova sintra,14.8667,-24.7167,22.93,78,1,13.1,CV,1712582484
218,kodiak,57.79,-152.4072,-1.27,86,20,0.0,US,1712582484
219,suleja,9.1758,7.1808,34.55,24,54,3.68,NG,1712582484
220,howard springs,-12.497,131.047,28.95,92,16,2.24,AU,1712582485
221,bunia,1.5667,30.25,26.71,56,78,0.51,CD,1712582485
222,brooks,50.5834,-111.8851,1.13,83,51,1.03,CA,1712582486
223,fabens,31.5023,-106.1586,15.32,21,80,1.89,US,1712582486
224,yanqul,23.5905,56.5501,34.03,10,21,1.64,OM,1712582486
225,lazaro cardenas,17.9583,-102.2,21.2,76,0,2.28,MX,1712582487
226,malango,-2.9627,119.9001,21.15,100,100,0.3,ID,1712582487
227,enewetak,11.3474,162.3373,27.48,79,100,9.39,MH,1712582476
228,kavieng,-2.5744,150.7967,25.45,90,100,1.92,PG,1712582488
229,dryden,49.7833,-92.7503,1.45,89,51,3.28,CA,1712582309
230,la passe,45.5549,-0.8967,21.13,68,5,7.0,FR,1712582489
231,urucui,-7.2294,-44.5561,29.45,66,98,4.12,BR,1712582489
232,rize,40.9044,40.8949,6.93,80,100,0.18,TR,1712582490
233,ribeira grande,38.5167,-28.7,16.54,94,75,8.05,PT,1712582490
234,usinsk,65.9939,57.5281,-3.85,75,100,5.81,RU,1712582490
235,baikonur,45.6167,63.3167,15.38,35,45,6.33,KZ,1712582491
236,walvis bay,-22.9575,14.5053,19.99,62,21,8.56,NA,1712582491
237,rupert,42.6191,-113.6772,0.1,86,20,3.6,US,1712582492
238,lamu,-2.2717,40.902,30.11,72,96,5.64,KE,1712582492
239,ohangaron,40.9064,69.6383,23.08,45,100,1.51,UZ,1712582492
240,trairi,-3.2778,-39.2689,27.79,86,83,2.4,BR,1712582489
241,escanaba,45.7453,-87.0646,8.33,71,100,7.72,US,1712582465
242,padangsidempuan,1.3667,99.2667,23.63,98,100,0.61,ID,1712582493
243,muli,2.9167,73.5667,29.5,68,91,1.79,MV,1712582494
244,luderitz,-26.6481,15.1594,17.71,82,59,3.93,NA,1712582494
245,paradip garh,20.3167,86.6167,31.05,36,4,3.46,IN,1712582495
246,la sarre,48.8002,-79.1996,1.35,94,80,2.11,CA,1712582495
247,kropachevo,55.0112,57.9896,3.95,75,100,4.58,RU,1712582495
248,brandfort,-28.7001,26.4597,16.67,84,97,10.11,ZA,1712582496
249,luau,-10.7073,22.2247,27.12,61,34,1.05,AO,1712582496
250,tessaoua,13.7574,7.9874,41.15,6,22,6.91,NE,1712582497
251,quesnel,52.9999,-122.5029,4.28,60,100,2.57,CA,1712582497
252,redencao,-4.2258,-38.7306,28.37,73,100,2.54,BR,1712582497
253,kencong,-8.2833,113.3667,26.48,86,100,0.63,ID,1712582498
254,mermoz boabab,14.7065,-17.4758,27.31,44,0,9.26,SN,1712582498
255,tofol,5.3248,163.0078,26.71,83,100,6.17,FM,1712582498
256,pachino,36.7186,15.0907,18.78,74,21,7.0,IT,1712582499
257,la tijera,19.9,-104.4,13.59,32,0,1.64,MX,1712582499
258,qulsary,46.9531,54.0198,17.06,37,16,5.94,KZ,1712582500
259,kourou,5.1552,-52.6478,30.03,65,54,3.06,GF,1712582500
260,ballina,-28.8667,153.5667,18.77,75,3,1.8,AU,1712582501
261,choibalsan,48.0667,114.5,3.49,39,6,3.91,MN,1712582501
262,hartsville,34.374,-80.0734,16.55,85,0,2.57,US,1712582501
263,ginir,7.1333,40.7,22.88,53,96,4.05,ET,1712582502
264,yarmolyntsi,49.1924,26.8373,22.26,36,100,4.48,UA,1712582502
265,norrtalje,59.758,18.705,16.87,49,81,4.94,SE,1712582502
266,kota kinabalu,5.9749,116.0724,28.99,84,20,0.89,MY,1712582489
267,porto murtinho,-21.6989,-57.8825,28.29,74,100,1.12,BR,1712582346
268,ngaoundere,7.3167,13.5833,28.29,41,100,1.87,CM,1712582503
269,alaghsas,17.0187,8.0168,39.94,6,100,7.72,NE,1712582504
270,phan rang-thap cham,11.5667,108.9833,25.65,85,6,2.02,VN,1712582321
271,tolanaro,-25.0319,46.9987,22.04,94,75,4.12,MG,1712582505
272,arcachon,44.5875,-1.0519,23.01,52,0,7.2,FR,1712582505
273,barabai,-2.5833,115.3833,24.91,95,93,1.17,ID,1712582505
274,iquique,-20.2208,-70.1431,21.27,74,100,2.09,CL,1712582246
275,saint-francois,46.4154,3.9054,25.36,34,0,7.72,FR,1712582506
276,"laikit, laikit ii (dimembe)",1.4792,124.9735,25.47,89,40,0.51,ID,1712582506
277,caleta de carquin,-11.0925,-77.6267,22.05,85,71,1.81,PE,1712582507
278,tazovsky,67.4667,78.7,-5.74,90,98,5.48,RU,1712582507
279,cestos city,5.46,-9.5828,30.06,70,70,4.2,LR,1712582423
280,zakynthos,37.7914,20.8953,23.68,33,0,5.14,GR,1712582508
281,khorixas,-20.3667,14.9667,28.41,11,1,5.06,NA,1712582481
282,ancud,-41.8697,-73.8203,10.34,86,97,2.05,CL,1712582509
283,rabo de peixe,37.8,-25.5833,17.77,99,75,5.14,PT,1712582509
284,ust-nera,64.5667,143.2,-16.03,99,91,1.51,RU,1712582509
285,vila franca do campo,37.7167,-25.4333,18.27,99,91,3.75,PT,1712582510
286,keflavik,64.0049,-22.5624,4.95,60,20,11.83,IS,1712582510
287,hamilton,39.1834,-84.5333,16.47,71,0,4.63,US,1712582428
288,daru,-9.0763,143.2092,27.81,83,96,2.44,PG,1712582511
289,fale old settlement,-9.3852,-171.2468,29.67,76,14,4.39,TK,1712582511
290,dungarvan,52.0881,-7.6253,10.87,100,100,4.02,IE,1712582512
291,lensk,60.7253,114.9278,-0.87,99,100,0.76,RU,1712582512
292,pangody,65.85,74.4859,-7.14,86,67,4.89,RU,1712582512
293,basco,20.4487,121.9702,27.28,78,0,2.72,PH,1712582513
294,pimentel,-6.8367,-79.9342,23.16,78,75,2.06,PE,1712582513
295,mount gambier,-37.8333,140.7667,11.93,63,100,3.72,AU,1712582513
296,sao jose da coroa grande,-8.8978,-35.1478,29.94,65,61,3.19,BR,1712582375
297,polyarnyy,69.1989,33.4478,-2.84,80,100,7.57,RU,1712582515
298,houlton,46.1262,-67.8403,7.62,49,0,2.06,US,1712582478
299,antofagasta,-23.65,-70.4,19.81,73,16,3.74,CL,1712581916
300,williams lake,52.1415,-122.1445,3.36,67,100,7.2,CA,1712582516
301,rouyn-noranda,48.2398,-79.0288,4.05,56,20,0.0,CA,1712582459
302,atafu village,-8.5421,-172.5159,29.65,74,5,3.93,TK,1712582516
303,mooloolaba,-26.6833,153.1167,23.36,96,11,0.63,AU,1712582404
304,labrador city,52.9463,-66.9114,-1.05,69,75,3.6,CA,1712582517
305,kapoeta,4.7717,33.5903,28.79,51,71,3.15,SS,1712582518
306,dellys,36.9172,3.9131,20.19,69,100,4.33,DZ,1712582518
307,mungwi,-10.1732,31.3694,22.36,82,100,2.02,ZM,1712582519
